type,caption,color,start,end
newspaper,Jawi Peranakan,#fac51c,1876,1895
newspaper,Al-Imam,#fbb321,1906,1908
newspaper,Utusan Melayu,#fba026,1907,1921
newspaper,Lembaga Melayu,#f78d2d,1914,1931
newspaper,Warta Malaya,#f37934,1930,1941
newspaper,Lembaga Malaya,#ef7245,1934,1941
newspaper,Warta Ahad,#eb6b56,1935,1941
newspaper,Lembaga,#e75e4c,1935,1941
newspaper,Utusan Melayu,#e25041,1939,1942
newspaper,Utusan Zaman,#da4c41,1939,1942
individual,Al-Syed Sheikh bin Ahmad al-Hadi,#37b4b7,1867,1934
individual,Sheikh Tahir Jalaluddin,#1abc9c,1869,1956
individual,Mohd. Eunos Abdullah,#0db291,1876,1933
individual,Abdul Rahim Kajai,#00a885,1894,1943
individual,Onn Ja'afar,#21a872,1895,1962
individual,Zainal Abidin bin Ahmad,#41a85f,1895,1973
individual,Ishak Haji Muhammad,#51b366,1909,1991
individual,Burhanuddin al-Helmy,#67c771,1911,1969
individual,Ibrahim Yaacob,#61bd6d,1911,1979
